customer_id,account_age_days,successful_payments,failed_payments,average_transaction,lifetime_value,engagement_score
CUST_00001,890,39,3,4830.84,390065.81,0.64
CUST_00002,360,19,6,11643.45,167520.6,0.23
CUST_00003,1362,3,5,24256.77,416388.88,0.29
CUST_00004,489,21,0,15407.83,4526.09,0.12
CUST_00005,540,27,2,3745.5,146780.18,0.43
CUST_00006,676,3,4,4511.95,33460.74,0.95
CUST_00007,806,14,1,694.37,116216.02,0.32
CUST_00008,538,7,3,20879.91,87508.96,0.45
CUST_00009,1051,4,1,13145.68,273808.43,0.27
CUST_00010,191,18,1,10060.21,463402.77,0.75
CUST_00011,1305,15,7,1417.11,163339.84,0.45
CUST_00012,1106,18,6,14792.75,482662.4,0.65
CUST_00013,94,29,6,686.22,212277.34,0.46
CUST_00014,1116,8,7,20441.9,353721.81,0.76
CUST_00015,260,33,2,16381.6,457564.88,0.87
CUST_00016,1086,12,1,1869.89,156180.18,0.39
CUST_00017,755,35,3,22214.15,236635.25,0.21
CUST_00018,1058,14,2,14163.55,385712.62,0.54
CUST_00019,1068,9,6,3039.0,220228.91,0.28
CUST_00020,1294,32,6,8064.59,254776.77,0.92
CUST_00021,778,23,6,13634.07,102327.55,0.95
CUST_00022,1296,7,2,4282.17,464919.13,0.83
CUST_00023,1081,6,3,5695.48,208838.46,0.89
CUST_00024,1284,28,0,22698.66,136793.99,0.68
CUST_00025,1312,13,0,471.72,255862.9,0.48
CUST_00026,1287,37,0,8639.09,471511.94,0.39
CUST_00027,1286,32,7,10274.75,33381.23,0.33
CUST_00028,1439,12,5,17893.08,74895.38,1.0
CUST_00029,249,2,1,1571.53,140044.59,0.92
CUST_00030,1183,19,5,13414.08,224443.8,0.6
CUST_00031,232,4,6,9430.47,121837.81,0.82
CUST_00032,227,5,3,10150.96,408399.5,0.82
CUST_00033,216,9,3,4907.01,21346.8,0.63
CUST_00034,1399,36,2,12948.7,114021.39,0.68
CUST_00035,580,33,7,23437.23,69622.95,0.41
CUST_00036,180,25,1,13673.76,348196.42,0.31
CUST_00037,653,16,1,14013.46,265295.64,0.32
CUST_00038,1090,12,4,22101.12,95164.85,0.35
CUST_00039,237,19,7,22458.62,443656.13,0.8
CUST_00040,616,24,3,23410.18,392884.98,0.7
CUST_00041,539,35,7,23521.3,486858.25,0.36
CUST_00042,851,18,1,11376.08,497234.27,0.26
CUST_00043,427,4,0,8337.37,373499.21,0.68
CUST_00044,430,7,2,7909.1,271727.58,0.56
CUST_00045,1075,22,6,6326.54,486532.27,0.45
CUST_00046,56,8,2,19931.84,251815.91,0.62
CUST_00047,1049,33,4,18144.57,141105.41,0.12
