transaction_id,customer_id,amount,payment_method,status,failure_reason,attempt_number,days_since_last_payment
TXN_000001,CUST_00913,5478.62,CARD,SUCCESS,,2,16
TXN_000002,CUST_02254,9672.61,UPI,SUCCESS,,2,19
TXN_000003,CUST_01829,17649.06,UPI,SUCCESS,,2,31
TXN_000004,CUST_00840,6978.49,CARD,FAILED,INSUFFICIENT_FUNDS,1,31
TXN_000005,CUST_04838,16655.43,WALLET,SUCCESS,,2,12
TXN_000006,CUST_00261,6497.1,CARD,SUCCESS,,1,41
TXN_000007,CUST_00768,4392.56,UPI,FAILED,NETWORK_ERROR,2,58
TXN_000008,CUST_01906,27304.36,CARD,SUCCESS,,1,27
TXN_000009,CUST_04598,26017.57,UPI,SUCCESS,,1,2
TXN_000010,CUST_04465,2040.95,WALLET,SUCCESS,,2,50
TXN_000011,CUST_01806,6476.8,WALLET,FAILED,INSUFFICIENT_FUNDS,1,53
TXN_000012,CUST_04828,13461.93,NETBANKING,FAILED,FRAUD_SUSPECTED,1,11
TXN_000013,CUST_00054,7170.03,UPI,SUCCESS,,2,47
TXN_000014,CUST_03463,15351.2,NETBANKING,SUCCESS,,2,7
TXN_000015,CUST_02277,29118.81,UPI,FAILED,BANK_TIMEOUT,1,46
TXN_000016,CUST_01764,13009.5,NETBANKING,SUCCESS,,2,39
TXN_000017,CUST_00838,2429.17,CARD,SUCCESS,,1,31
TXN_000018,CUST_03113,6180.92,CARD,SUCCESS,,2,27
TXN_000019,CUST_02941,6844.3,NETBANKING,SUCCESS,,2,9
TXN_000020,CUST_04946,5122.5,NETBANKING,SUCCESS,,2,44
TXN_000021,CUST_00356,4484.16,WALLET,FAILED,NETWORK_ERROR,1,18
TXN_000022,CUST_04393,25669.47,CARD,FAILED,FRAUD_SUSPECTED,1,49
TXN_000023,CUST_03101,7859.09,CARD,SUCCESS,,1,34
TXN_000024,CUST_04523,17038.38,NETBANKING,SUCCESS,,1,46
TXN_000025,CUST_02963,1107.11,UPI,SUCCESS,,1,19
TXN_000026,CUST_00570,1417.12,CARD,SUCCESS,,1,12
TXN_000027,CUST_01867,26433.88,NETBANKING,SUCCESS,,1,15
TXN_000028,CUST_00654,22432.0,UPI,SUCCESS,,2,43
TXN_000029,CUST_00828,8530.38,WALLET,SUCCESS,,1,28
TXN_000030,CUST_02278,20433.4,WALLET,SUCCESS,,2,6
TXN_000031,CUST_02989,5308.8,UPI,FAILED,CARD_EXPIRED,1,24
TXN_000032,CUST_03033,18701.7,NETBANKING,FAILED,BANK_TIMEOUT,1,26
TXN_000033,CUST_01717,9213.86,NETBANKING,SUCCESS,,1,24
TXN_000034,CUST_00585,14167.17,UPI,SUCCESS,,1,44
TXN_000035,CUST_04376,16602.99,UPI,FAILED,CARD_EXPIRED,1,22
TXN_000036,CUST_01339,13048.59,WALLET,SUCCESS,,2,0
TXN_000037,CUST_03109,7693.5,NETBANKING,SUCCESS,,1,17
TXN_000038,CUST_04563,19272.93,UPI,SUCCESS,,2,14
TXN_000039,CUST_02657,9818.26,CARD,SUCCESS,,2,37
TXN_000040,CUST_01877,18204.71,CARD,SUCCESS,,2,24
TXN_000041,CUST_02585,15913.22,WALLET,FAILED,INSUFFICIENT_FUNDS,2,29
TXN_000042,CUST_02194,2530.19,CARD,SUCCESS,,2,45
TXN_000043,CUST_01729,8871.32,NETBANKING,SUCCESS,,2,2
TXN_000044,CUST_01742,8768.59,WALLET,SUCCESS,,1,54
